exported_at,tx_hash,type,sender,receiver,amount,destination_tag,ledger_index,validated,result
2026-06-16T10:55:39.610083+00:00,680B33B509101D02DEA96C2ADECD623D117E75B43CBACA626B546404C4A5A77C,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18275001,True,tesSUCCESS
2026-06-16T10:55:39.610142+00:00,2615FD6F55DCE668B6A422BBB8E08B522E48C102DFE10DF737771E444EFE9748,Payment,rJjHYTCPpNA3qAM8ZpCDtip3a8xg7B8PFo,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,20.0 XRP,,18274671,True,tesSUCCESS
2026-06-16T10:55:48.353293+00:00,680B33B509101D02DEA96C2ADECD623D117E75B43CBACA626B546404C4A5A77C,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18275001,True,tesSUCCESS
2026-06-16T10:55:48.353350+00:00,2615FD6F55DCE668B6A422BBB8E08B522E48C102DFE10DF737771E444EFE9748,Payment,rJjHYTCPpNA3qAM8ZpCDtip3a8xg7B8PFo,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,20.0 XRP,,18274671,True,tesSUCCESS
2026-06-16T11:04:02.952060+00:00,84E2444AE8936C3831C049734938178BF9B19941627CFD0E2B78437A83D2FFDB,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18276270,True,tesSUCCESS
2026-06-16T11:04:02.952113+00:00,680B33B509101D02DEA96C2ADECD623D117E75B43CBACA626B546404C4A5A77C,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18275001,True,tesSUCCESS
2026-06-16T11:04:02.952122+00:00,2615FD6F55DCE668B6A422BBB8E08B522E48C102DFE10DF737771E444EFE9748,Payment,rJjHYTCPpNA3qAM8ZpCDtip3a8xg7B8PFo,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,20.0 XRP,,18274671,True,tesSUCCESS
2026-06-16T11:04:31.697807+00:00,84E2444AE8936C3831C049734938178BF9B19941627CFD0E2B78437A83D2FFDB,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18276270,True,tesSUCCESS
2026-06-16T11:04:31.697878+00:00,680B33B509101D02DEA96C2ADECD623D117E75B43CBACA626B546404C4A5A77C,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18275001,True,tesSUCCESS
2026-06-16T11:04:31.697890+00:00,2615FD6F55DCE668B6A422BBB8E08B522E48C102DFE10DF737771E444EFE9748,Payment,rJjHYTCPpNA3qAM8ZpCDtip3a8xg7B8PFo,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,20.0 XRP,,18274671,True,tesSUCCESS
2026-06-16T11:05:17.557821+00:00,84E2444AE8936C3831C049734938178BF9B19941627CFD0E2B78437A83D2FFDB,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18276270,True,tesSUCCESS
2026-06-16T11:05:17.557884+00:00,680B33B509101D02DEA96C2ADECD623D117E75B43CBACA626B546404C4A5A77C,Payment,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,rpTPgHp1mpMaDGfnVhMw8BN2wwd5QvzDCk,1.0 XRP,,18275001,True,tesSUCCESS
2026-06-16T11:05:17.557897+00:00,2615FD6F55DCE668B6A422BBB8E08B522E48C102DFE10DF737771E444EFE9748,Payment,rJjHYTCPpNA3qAM8ZpCDtip3a8xg7B8PFo,rL5zUyMoBoBX7kZaBpaihrCtRcHThJmBtz,20.0 XRP,,18274671,True,tesSUCCESS
